mlb_player_id,full_name,milb_age,milb_level,milb_season,milb_pa,milb_ab,milb_h,milb_2b,milb_3b,milb_hr,milb_bb,milb_so,milb_sb,mlb_age,mlb_season,mlb_pa,mlb_ab,mlb_h,mlb_2b,mlb_3b,mlb_hr,mlb_bb,mlb_so,mlb_sb,milb_avg,milb_obp,milb_slg,milb_ops,milb_iso,milb_bb_rate,milb_k_rate,mlb_avg,mlb_obp,mlb_slg,mlb_ops,mlb_iso,mlb_bb_rate,mlb_k_rate,age_gap
649966,Luis Urías,27,AAA,2024,350,288,75,12,1,10,48,57,8.0,28,2025,330,287,66,7,0,8,31,45,2,0.2604166666666667,0.3514285714285714,0.4131944444444444,0.7646230158730158,0.15277777777777773,0.13714285714285715,0.16285714285714287,0.22996515679442509,0.29393939393939394,0.33797909407665505,0.631918488016049,0.10801393728222997,0.09393939393939393,0.13636363636363635,1
649966,Luis Urías,28,AAA,2025,57,50,13,3,0,1,6,6,1.0,28,2025,330,287,66,7,0,8,31,45,2,0.26,0.3333333333333333,0.38,0.7133333333333334,0.12,0.10526315789473684,0.10526315789473684,0.22996515679442509,0.29393939393939394,0.33797909407665505,0.631918488016049,0.10801393728222997,0.09393939393939393,0.13636363636363635,0
650331,Lewin Díaz,25,AAA,2021,312,278,69,15,0,20,26,60,2.0,25,2021,128,122,25,4,1,8,6,33,0,0.24820143884892087,0.30448717948717946,0.5179856115107914,0.8224727909979708,0.2697841726618705,0.08333333333333333,0.19230769230769232,0.20491803278688525,0.2421875,0.45081967213114754,0.6930071721311475,0.2459016393442623,0.046875,0.2578125,0
650331,Lewin Díaz,25,AAA,2021,312,278,69,15,0,20,26,60,2.0,26,2022,174,160,27,4,0,5,11,54,1,0.24820143884892087,0.30448717948717946,0.5179856115107914,0.8224727909979708,0.2697841726618705,0.08333333333333333,0.19230769230769232,0.16875,0.21839080459770116,0.2875,0.5058908045977011,0.11874999999999997,0.06321839080459771,0.3103448275862069,1
650331,Lewin Díaz,26,AAA,2022,368,325,82,19,1,19,32,75,0.0,26,2022,174,160,27,4,0,5,11,54,1,0.2523076923076923,0.30978260869565216,0.49230769230769234,0.8020903010033444,0.24000000000000005,0.08695652173913043,0.20380434782608695,0.16875,0.21839080459770116,0.2875,0.5058908045977011,0.11874999999999997,0.06321839080459771,0.3103448275862069,0
650339,Jermaine Palacios,26,AAA,2022,428,392,111,28,0,14,34,102,12.0,26,2022,77,70,10,0,0,2,4,27,0,0.28316326530612246,0.338785046728972,0.461734693877551,0.800519740606523,0.17857142857142855,0.0794392523364486,0.2383177570093458,0.14285714285714285,0.18181818181818182,0.22857142857142856,0.4103896103896104,0.08571428571428572,0.05194805194805195,0.35064935064935066,0
650559,Bryan De La Cruz,25,AAA,2021,293,272,88,17,0,12,17,59,2.0,25,2021,219,199,59,7,2,5,18,53,1,0.3235294117647059,0.3583617747440273,0.5183823529411765,0.8767441276852038,0.19485294117647062,0.05802047781569966,0.20136518771331058,0.2964824120603015,0.3515981735159817,0.4271356783919598,0.7787338519079415,0.1306532663316583,0.0821917808219178,0.2420091324200913,0
650559,Bryan De La Cruz,25,AAA,2021,293,272,88,17,0,12,17,59,2.0,26,2022,355,329,83,20,0,13,19,90,4,0.3235294117647059,0.3583617747440273,0.5183823529411765,0.8767441276852038,0.19485294117647062,0.05802047781569966,0.20136518771331058,0.25227963525835867,0.28732394366197184,0.4316109422492401,0.7189348859112119,0.17933130699088146,0.05352112676056338,0.2535211267605634,1
650559,Bryan De La Cruz,25,AAA,2021,293,272,88,17,0,12,17,59,2.0,27,2023,626,579,149,32,0,19,40,142,4,0.3235294117647059,0.3583617747440273,0.5183823529411765,0.8767441276852038,0.19485294117647062,0.05802047781569966,0.20136518771331058,0.25734024179620035,0.3019169329073482,0.4110535405872193,0.7129704734945675,0.15371329879101897,0.06389776357827476,0.2268370607028754,2
650559,Bryan De La Cruz,25,AAA,2021,293,272,88,17,0,12,17,59,2.0,28,2024,622,584,136,25,0,21,29,170,5,0.3235294117647059,0.3583617747440273,0.5183823529411765,0.8767441276852038,0.19485294117647062,0.05802047781569966,0.20136518771331058,0.2328767123287671,0.2652733118971061,0.3835616438356164,0.6488349557327225,0.1506849315068493,0.04662379421221865,0.2733118971061093,3
650559,Bryan De La Cruz,25,AAA,2021,293,272,88,17,0,12,17,59,2.0,29,2025,50,47,9,1,0,0,3,18,1,0.3235294117647059,0.3583617747440273,0.5183823529411765,0.8767441276852038,0.19485294117647062,0.05802047781569966,0.20136518771331058,0.19148936170212766,0.24,0.2127659574468085,0.4527659574468085,0.021276595744680854,0.06,0.36,4
650559,Bryan De La Cruz,26,AAA,2022,54,50,16,3,0,4,4,13,1.0,26,2022,355,329,83,20,0,13,19,90,4,0.32,0.37037037037037035,0.62,0.9903703703703703,0.3,0.07407407407407407,0.24074074074074073,0.25227963525835867,0.28732394366197184,0.4316109422492401,0.7189348859112119,0.17933130699088146,0.05352112676056338,0.2535211267605634,0
650559,Bryan De La Cruz,26,AAA,2022,54,50,16,3,0,4,4,13,1.0,27,2023,626,579,149,32,0,19,40,142,4,0.32,0.37037037037037035,0.62,0.9903703703703703,0.3,0.07407407407407407,0.24074074074074073,0.25734024179620035,0.3019169329073482,0.4110535405872193,0.7129704734945675,0.15371329879101897,0.06389776357827476,0.2268370607028754,1
