rank,mlb_player_id,name,fv,fg_year,fg_score,v4_score,v5_score,v7_score
43,806965,Starlyn Caba,45.0,2025.0,37.402169463133326,41.91645993280459,41.03821341097168,38.66863195185141
44,815380,Luke Dickerson,45.0,2025.0,39.853082548400394,35.877100276994966,35.26435919106584,38.59901375838585
45,691006,Kevin Parada,50.0,2023.0,51.57673120966635,9.211695435379992,5.888250168152678,38.534875950657714
46,806953,Eduardo Tait,45.0,2025.0,32.232596484964986,52.174720302831645,54.15499088462147,38.41326068850397
47,814439,Ryan Waldschmidt,50.0,2025.0,48.7184768364685,16.735087354702063,9.624061059798487,38.41235736244821
48,702544,Jacob Reimer,50.0,2025.0,44.08439747356859,26.874295078965748,20.025663240458393,38.236503571337
49,815894,Jorge Quintana,40.0,2025.0,25.15675768227379,67.35071080945599,69.25011083628706,38.00488362311155
50,694876,Cooper Ingle,50.0,2025.0,48.39809605931622,16.047330245415008,7.586562853927734,37.84678957599712
51,821181,Juneiker Caceres,40.0,2025.0,21.563915913771798,73.6823180240197,79.88191647957412,37.81939639240161
52,821041,Roldy Brito,,,25.0,64.95054636508478,70.30516560099295,37.52062583311625
53,695670,Harry Ford,50.0,2025.0,46.71838528079089,16.14250007781261,11.154621973094468,37.04683190942559
54,695731,Braden Montgomery,50.0,2025.0,46.32248617328024,17.096887643893847,11.783079724051824,37.02342582248012
55,815520,Braylon Payne,45.0,2025.0,30.00594996567349,51.515701366974234,53.91838211079715,36.699143460446
56,828589,Max Durrington,,,25.0,61.61003401518153,65.40561163414846,36.36256796645115
57,682617,Marco Luciano,50.0,2023.0,47.6635086914733,11.588420498827528,6.299245493478037,36.31206473314462
58,699073,Thayron Liranzo,50.0,2025.0,44.471142908142255,17.850435485168425,13.031440034670219,36.00303113620029
59,821100,Justin Gonzales,,,25.0,59.015574144271575,62.06834429127647,35.509949257981965
60,800050,Chase DeLauter,50.0,2025.0,45.150807853906365,15.484690465157936,6.413577011686235,35.343861291934665
61,815154,Slade Caldwell,40.0,2025.0,29.19126733488947,48.72303043528491,51.313726420245565,35.30986586350417
62,702693,Jaison Chourio,45.0,2025.0,35.962744336125226,33.112779674838116,33.36044157521593,35.13252112777687
63,695600,Carter Jensen,50.0,2025.0,43.1484278731292,17.404692226596076,12.91935015952409,34.976772972462065
64,690997,Nolan McLean,55.0,2025.0,46.574213922834005,7.654867325676529,5.725905360008446,34.70551374711995
65,702222,Justin Crawford,45.0,2025.0,36.333470685157224,35.48534852057705,19.329966393378196,34.46349582306329
