rank,mlb_player_id,full_name,player_type,current_age,age_tier,primary_position,current_team,highest_level,pred_mlb_wrc_plus,combined_age_factor,prospect_value_score
375,700245,Bryce McGowan,Pitcher,25.5523613963039,Older Prospect,P,0,AAA,101.9176435045317,0.4663694225295403,69.69276427146886
376,806004,Nate Ackenhausen,Pitcher,24.041067761806985,Standard Prospect,P,0,AAA,80.197243697479,0.9700548475962628,69.67219167914948
377,696505,Cory Wall,Pitcher,25.56878850102669,Older Prospect,P,0,AA,152.6910118448982,0.3066740216941353,69.65253561540013
378,802686,Hayden Harris,Pitcher,26.60369609856263,Fringe Prospect,P,0,AAA,159.77143774403467,0.2730332770764836,69.5623750030018
379,669438,Mason Englert,Pitcher,25.935660506502398,Older Prospect,P,0,AAA,119.9438343585237,0.3847918679259964,69.463670050489
380,694781,Logan Mercado,Pitcher,23.969883641341543,Standard Prospect,P,0,AAA,94.25924083769632,1.0032442776350607,69.45966393415
381,805363,Chris Clark,Pitcher,24.150581793292265,Standard Prospect,P,0,AA,79.73669517923481,0.6504972492806881,69.44835658652748
382,681306,Christian MacLeod,Pitcher,25.489390828199863,Older Prospect,P,0,AAA,98.31669701986752,0.4811985055611589,68.83120704482869
383,677946,Ben Harris,Pitcher,25.626283367556468,Older Prospect,P,0,AAA,103.93160516605164,0.449498447029144,68.79549084012544
384,801802,James Hicks,Pitcher,24.41615331964408,Standard Prospect,P,0,AA,88.59683577684227,0.5675222612666228,68.49157030320394
385,681753,Adrian Hernandez,Pitcher,25.711156741957563,Older Prospect,P,0,AAA,107.20320960698687,0.4308207048007703,68.48865698134114
386,680588,Julio Rodriguez,Pitcher,25.659137577002053,Older Prospect,P,0,AAA,148.40916873747494,0.4421818812480343,68.22832460409225
387,676272,Bobby Miller,Pitcher,26.510609171800137,Fringe Prospect,P,0,AAA,151.48903357664236,0.2865966124795493,68.2209686284755
388,681097,Andrew Moore,Pitcher,26.16016427104723,Older Prospect,P,0,AAA,129.19378167420814,0.3432984133223368,67.98382023127304
389,683000,Riley Cornelio,Pitcher,25.3388090349076,Older Prospect,P,0,AAA,91.10007638072857,0.5184390075001103,67.64063201059398
390,702070,Noah Cameron,Pitcher,26.22861054072553,Older Prospect,P,0,AAA,132.1273879012772,0.3314840147938923,67.52042898278395
391,681328,Jonny Cuevas,Pitcher,24.88158795345654,Standard Prospect,P,0,AAA,72.93623977615152,0.6484866051690344,67.31981961231526
392,815456,Ben Shields,Pitcher,26.70773442847365,Fringe Prospect,P,0,AAA,160.0,0.2585602062557505,66.89381635753033
