rank,mlb_player_id,full_name,player_type,current_age,age_tier,primary_position,current_team,highest_level,pred_mlb_wrc_plus,combined_age_factor,prospect_value_score
1341,802087,Frankeli Arias,Pitcher,22.510609171800137,Premium Prospect,P,0,A+,41.04,0.9946328217641391,44.09005045321272
1342,685112,Zach McCambley,Pitcher,26.431211498973305,Older Prospect,P,0,AAA,100.73087561374795,0.2986424475692616,43.995998563918995
1343,805763,Drake Logan,Hitter,25.089664613278575,Older Prospect,3B,0,AAA,87.8196685082873,0.3515146283120669,43.94928468895577
1344,692497,Estiven Machado,Hitter,23.01163586584531,Standard Prospect,SS,0,A+,82.475,0.504340034180978,43.92476829170632
1345,676221,Jorge Benitez,Pitcher,26.351813826146476,Older Prospect,P,0,AAA,97.24258620689652,0.31114412083375154,43.917771891345915
1346,700183,Blake Holub,Pitcher,26.9596167008898,Fringe Prospect,P,0,AAA,127.08607791185729,0.22632715814918833,43.906691144898645
1347,809101,Tommy Hopfe,Hitter,22.99247091033539,Premium Prospect,1B,0,A+,84.65230769230769,0.5098036043814534,43.88730689919783
1348,696521,Garrett Spain,Hitter,25.045859000684462,Older Prospect,OF,0,AAA,86.7838607830951,0.3597963997751209,43.754648363110924
1349,699112,Jose Serrano,Hitter,21.984941820670773,Premium Prospect,SS,0,A+,78.25147540983606,1.064775977316108,43.74315288311619
1350,691252,Jhon Diaz,Hitter,23.019849418206707,Standard Prospect,CF,0,A+,81.20569991617771,0.5020149770945549,43.63230860431756
1351,687967,Peter Van Loon,Pitcher,26.636550308008214,Fringe Prospect,P,0,AAA,108.97410214168039,0.2683860609887813,43.534039850095766
1352,689546,Nick Davila,Pitcher,26.88021902806297,Fringe Prospect,P,0,AAA,122.01197950819672,0.23607609496483267,43.53072529645632
1353,678796,Jose Mujica,Hitter,24.531143052703626,Standard Prospect,C,0,AAA,84.04179104477612,0.471907240382258,43.52518643618558
1354,814791,Jared Sundstrom,Hitter,24.298425735797398,Standard Prospect,OF,0,AA,85.95426429240862,0.37424469157060164,43.52216529957011
1355,800327,Juan Perez,Hitter,21.04312114989733,Premium Prospect,C,0,A,80.15951807228916,1.2166059646116307,43.51943695893658
1356,687554,DJ Gladney,Hitter,24.23545516769336,Standard Prospect,OF,0,AA,83.84400465657741,0.38758598379415143,43.51388918839132
1357,676442,Bailey Dees,Pitcher,26.67214236824093,Fringe Prospect,P,0,AAA,110.57253424657533,0.26343196791744794,43.503956128902054
1358,685067,Baron Stuart,Pitcher,26.209445585215605,Older Prospect,P,0,AAA,89.66394997022039,0.3347542283765116,43.40069540572461
1359,690291,Jace Jung,Hitter,25.010266940451746,Older Prospect,3B,0,AAA,93.68801156626506,0.36665987455793664,43.39785329509935
1360,803142,Tommy Hawke,Hitter,23.255304585900067,Standard Prospect,OF,0,A+,86.86499261447563,0.43939102542062947,43.33008007354105
1361,692633,Manuel Palencia,Hitter,23.091033538672143,Standard Prospect,C,0,AA,83.7469964664311,0.721606780062099,43.3140496104928
1362,813666,Ariel Armas,Hitter,22.858316221765914,Premium Prospect,C,0,A+,83.03196347031962,0.5495957613182817,43.30950184829966
1363,687069,Josh Rivera,Hitter,24.993839835728952,Standard Prospect,SS,0,AAA,85.67113062568606,0.3698689407082992,43.2528783056436
1364,689557,Zane Morehouse,Pitcher,25.894592744695416,Older Prospect,P,0,AA,118.66017075996292,0.2555411092860391,43.247733686213515
1365,695517,Casey Cook,Hitter,23.017111567419576,Standard Prospect,OF,0,A+,81.83860869565217,0.5027889023350237,43.20492144644811
1366,672551,Didier Vargas,Pitcher,26.573579739904176,Fringe Prospect,P,0,AAA,105.43210261569416,0.27735672381624876,43.20043219954309
1367,685133,Wade Meckler,Hitter,25.464750171115675,Older Prospect,OF,0,AAA,94.83777777777777,0.28756434982127577,43.1953397439233
1368,686960,Nate Baez,Hitter,24.39425051334702,Standard Prospect,C,0,AA,88.31875,0.35475176003758,43.17564586213541
1369,692562,Alexis Hernandez,Hitter,23.00889801505818,Standard Prospect,LF,0,A+,83.9527352297593,0.5051172437218309,43.1221357862137
1370,672529,Yefri Del Rosario,Pitcher,26.04243668720055,Older Prospect,P,0,AAA,83.22852812223204,0.3645186566820843,43.115553475447776
1371,801881,Jacob Jenkins-Cowart,Hitter,22.78986995208761,Premium Prospect,OF,0,A+,81.13860045146727,0.570979440100202,43.099378112149175
1372,689359,Dale Stanavich,Pitcher,26.2943189596167,Older Prospect,P,0,AAA,93.26930157261796,0.32049081029891463,43.014383598617925
1373,682144,Jayvien Sandridge,Pitcher,26.65571526351814,Fringe Prospect,P,0,AAA,108.72102331606216,0.2657081630893647,42.97653242547195
1374,680436,Trenton Wallace,Pitcher,26.524298425735797,Fringe Prospect,P,0,AAA,102.79000000000002,0.2845646577008298,42.968839311485326
1375,701337,Ethan Petry,Hitter,21.308692676249144,Premium Prospect,OF,0,A,83.35445544554455,1.05013144657396,42.966493964303005
1376,677599,Miguel Hiraldo,Hitter,25.089664613278575,Older Prospect,2B,0,AAA,85.90667957405614,0.3515146283120669,42.86997857959873
1377,682643,Alexander Ramirez,Hitter,23.110198494182068,Standard Prospect,OF,0,A+,82.18313253012047,0.47707929634258445,42.84806205344884
1378,702847,Amilcar Chirinos,Pitcher,23.917864476386036,Standard Prospect,P,0,AA,75.54366143472974,0.732118009841785,42.695137730761495
1379,800251,Jeffry Rosa,Hitter,21.073237508555785,Premium Prospect,OF,0,A,79.76757396449705,1.1965724881143425,42.5935291856086
1380,681626,Moises Diaz,Pitcher,24.449007529089666,Standard Prospect,P,0,A+,139.32479999999998,0.3527903276192091,42.4834385289714
1381,701696,Ryan Stafford,Hitter,22.729637234770706,Premium Prospect,C,0,A+,82.66183574879227,0.5904279220116505,42.43181112887368
1382,700648,Josue Gonzalez,Hitter,21.94113620807666,Premium Prospect,C,0,A,79.9820895522388,0.7343007162177942,42.38880474094022
1383,804558,Raudi Rodriguez,Hitter,22.255989048596852,Premium Prospect,OF,0,A,82.75428571428571,0.5098390476435147,42.198646639851475
1384,687071,Shane Sasaki,Hitter,25.270362765229294,Older Prospect,CF,0,AAA,89.7322213798332,0.31920542311032823,42.19575369801309
1385,681854,Connor Van Scoyoc,Pitcher,25.867214236824093,Older Prospect,P,0,AAA,75.01909628844118,0.398323754978329,42.1350524284525
1386,695013,Kalae Harrison,Hitter,23.342915811088297,Standard Prospect,SS,0,AA,84.33579617834395,0.6307522376734983,42.09213339277755
1387,680994,Nick Biddison,Hitter,25.190965092402465,Older Prospect,RF,0,AAA,88.27481865284975,0.3330429606313343,42.07920561057623
1388,691032,Luis Moreno,Pitcher,26.362765229295004,Older Prospect,P,0,AAA,94.28133663366337,0.3093920570183712,42.06838214790314
1389,689959,Caeden Trenkle,Hitter,24.27652292950034,Standard Prospect,OF,0,AA,84.64735376044568,0.37883639685014436,41.98993286374319
1390,685290,Diego Barrera,Pitcher,25.426420260095824,Older Prospect,P,0,AAA,112.41820608365019,0.49646088829456136,41.97960377661377
1391,687526,Marcus Smith,Hitter,25.073237508555785,Older Prospect,CF,0,AAA,86.51536388140161,0.3545990959008672,41.87583829594559
1392,801590,Aaron Parker,Hitter,22.72416153319644,Premium Prospect,C,0,A+,83.68398936170212,0.5922258948117513,41.87151964548653
1393,694909,Christian McGowan,Pitcher,25.587953456536617,Older Prospect,P,0,AAA,78.24545385232746,0.45817498734228584,41.82904774511971
1394,807747,Rikuu Nishida,Hitter,24.424366872005475,Standard Prospect,2B,0,AA,89.24897959183673,0.34882095701171734,41.78763189016458
1395,673062,Jarryd Dale,Hitter,25.073237508555785,Older Prospect,SS,0,AAA,86.32786885245902,0.3545990959008672,41.78508549596827
1396,702318,Chris Campos,Pitcher,25.152635181382614,Older Prospect,P,0,AA,80.73424855821388,0.3848613601395348,41.683940295016
1397,691268,Yiddi Cappe,Hitter,23.058179329226558,Standard Prospect,SS,0,A+,80.54259818731117,0.49129400330243983,41.548600274815136
1398,800029,Modeifi Marte,Hitter,23.189596167008897,Standard Prospect,1B,0,A+,83.36977099236641,0.4561069822627248,41.45717681983137
1399,676026,Holden Powell,Pitcher,26.080766598220396,Older Prospect,P,0,AAA,80.55856822920691,0.35748212304753424,41.38364504194575
1400,800506,Luis Sanchez,Hitter,21.727583846680357,Premium Prospect,SS,0,A,80.27965517241378,0.8296128089965902,41.371227960050355
1401,701648,Aaron Zavala,Hitter,25.28952772073922,Older Prospect,OF,0,AAA,89.80668016194332,0.3159469617734812,41.279200062865044
1402,683006,Chris Newell,Hitter,24.459958932238195,Standard Prospect,OF,0,AA,87.17948859709745,0.34192926147340363,41.23863852405783
1403,685722,Michael Mantecón,Hitter,23.679671457905545,Standard Prospect,C,0,AAA,82.37636363636364,0.7328269071422832,41.20089777344296
1404,685319,Braydon Tucker,Pitcher,26.223134839151268,Older Prospect,P,0,AA,134.69607039512763,0.2116037355785881,41.19411255272042
1405,686863,Daniel Mateo,Hitter,24.265571526351813,Standard Prospect,CF,0,AA,83.08888888888889,0.3811516516471272,41.15999128065884
1406,669387,Carmen Mlodzinski,Pitcher,26.633812457221083,Fringe Prospect,P,0,AAA,103.81317232375976,0.2687705926580457,41.07790298176425
1407,680846,Pablo Aliendo,Hitter,24.361396303901437,Standard Prospect,C,0,AA,84.81927353595256,0.36132729376508355,41.05096435191866
1408,828473,Zach Evans,Hitter,23.23066392881588,Standard Prospect,SS,0,A+,83.8818691588785,0.4455928709249246,40.93108012439676
1409,701653,Mason Guerra,Hitter,23.1129363449692,Standard Prospect,1B,0,A+,83.02592592592592,0.4763416839965188,40.884772024212936
