mlb_player_id,debut_season,mlb_games
571466,2021,292
553882,2021,288
541645,2021,288
608841,2022,286
669707,2023,286
458015,2021,285
690993,2024,285
542364,2021,282
592325,2021,281
677587,2023,281
609280,2021,280
669911,2022,280
694192,2024,279
691023,2023,279
474832,2021,278
656413,2021,277
677800,2023,275
670242,2022,273
543305,2021,273
681624,2024,272
663853,2021,271
701538,2024,271
672640,2021,269
686823,2022,269
656541,2021,269
694671,2024,268
681546,2022,267
666397,2023,267
542194,2022,266
665019,2022,265
677551,2021,265
605119,2021,264
691016,2023,264
656180,2021,263
660644,2021,261
669224,2023,260
571976,2021,260
668904,2022,258
642201,2021,257
664058,2021,256
622110,2021,256
663611,2021,256
572816,2021,255
573131,2021,255
658668,2021,254
676914,2023,252
519058,2021,252
614177,2021,252
671213,2022,251
679032,2023,250
665506,2021,249
666135,2021,249
543543,2021,248
681807,2023,245
446334,2021,244
602074,2021,244
642136,2021,244
571912,2021,243
663368,2023,242
664059,2021,242
670097,2021,241
621433,2021,240
669364,2023,239
696100,2023,237
571980,2021,237
680869,2023,237
621512,2021,237
695578,2024,236
680574,2023,236
621466,2021,235
596847,2021,235
680474,2024,234
543592,2021,232
642336,2021,227
666163,2021,227
669477,2023,225
693304,2023,225
572228,2021,225
544725,2021,223
663897,2021,221
687462,2023,220
656308,2021,220
655316,2023,219
594777,2021,219
666018,2022,216
592200,2021,215
681146,2022,214
672761,2024,212
624414,2021,210
702616,2024,209
665155,2021,209
641432,2021,209
605548,2021,208
686527,2023,208
671221,2022,208
642851,2021,208
641943,2021,207
623205,2021,207
593643,2021,206
595751,2021,206
628450,2021,206
660707,2022,205
682177,2024,204
666152,2023,204
691406,2023,204
680718,2024,204
656537,2021,203
641856,2021,203
687597,2024,203
671056,2022,203
542340,2021,201
488726,2021,200
425877,2021,199
665804,2023,198
644374,2021,197
665923,2022,197
680700,2022,195
700932,2024,195
666801,2021,194
670156,2022,194
676369,2022,194
663527,2021,192
687363,2024,191
682622,2023,191
476704,2021,189
686797,2024,189
545358,2021,189
664874,2021,189
700250,2024,188
645444,2022,187
676116,2023,187
640461,2021,186
680779,2023,186
676701,2021,186
664770,2023,186
546318,2021,186
686676,2022,186
640457,2021,184
642727,2021,183
656669,2021,183
593934,2021,183
682657,2024,182
664901,2021,182
686780,2024,180
672724,2022,180
686894,2023,180
642165,2021,179
666211,2021,178
666149,2023,178
682641,2023,178
669134,2021,177
678009,2023,177
545350,2021,176
503556,2021,176
623520,2021,175
645801,2021,172
667472,2023,172
680118,2022,171
607461,2021,170
669256,2021,168
622569,2021,168
689172,2023,168
642423,2021,168
622682,2021,168
663845,2021,167
572204,2021,167
660757,2022,166
660766,2022,166
544369,2021,166
592743,2021,165
667452,2023,165
606157,2021,164
678225,2022,163
641553,2021,163
672279,2022,160
669374,2021,159
501303,2021,159
518586,2021,159
572138,2023,158
676572,2024,158
614173,2021,156
665839,2023,156
670712,2021,155
700242,2024,154
693307,2024,153
805779,2024,153
678554,2023,152
623168,2022,152
676356,2023,151
656577,2021,151
672779,2021,149
605361,2021,149
691176,2023,149
519390,2021,148
600303,2021,148
640458,2021,147
665482,2021,145
641796,2021,145
668885,2024,143
669369,2022,143
663662,2021,143
506702,2021,142
679845,2023,142
669003,2022,141
686555,2024,141
592567,2021,141
643524,2021,139
