rank,mlb_player_id,full_name,current_age,primary_position,current_team,highest_level_name,total_milb_pa,pred_mlb_wrc_plus,pred_mlb_woba,pred_mlb_avg_ops,composite_score,weighted_prospect_score
380,691269,Adrian Placencia,22.351813826146476,SS,,AA,1976.0,0.7155427116446252,0.010785602978723406,0.02568000709219858,2.1054733612107035,0.9052459919878869
381,800257,Yonatan Henriquez,20.98836413415469,SS,,A+,535.0,2.960971255364706,0.003469714750066202,0.008261225595395716,2.104406397924488,0.6226870398366989
382,676847,Shane Matheny,29.34154688569473,CF,,AAA,1128.0,0.8710339891962424,0.02738631199137183,0.06520550474136148,2.0766037016406638,0.9155267708458265
383,686758,Dylan Shockley,28.49555099247091,C,,AAA,459.0,0.6526923155066369,0.025671721358933718,0.06112314609269933,2.0697257537366625,0.6177398517887539
384,695770,Wes Kath,23.1813826146475,3B,,AA,1520.0,0.7859944342071369,0.010946318348524154,0.02606266273458132,2.0234516073547733,0.9157204115308305
385,694229,Enderso Lira,21.99315537303217,C,,AAA,325.0,2.3699971675913436,0.0012060019891696222,0.010190024773887427,2.0201841737847634,1.7420503806144638
386,702690,Cutter Coffey,21.38261464750171,3B,,A+,1157.0,0.36732776754047014,0.011236258348524155,0.02675299606791465,2.0187029635575886,0.6158659536565424
387,689651,Phillip Sikes,26.45037645448323,OF,,AAA,1309.0,1.4301410215543453,0.016111152373391172,0.03336517868650151,2.0142617319037885,0.7720142691513344
388,676286,Jan Mercado,26.11362080766598,C,,AAA,336.0,-3.2283674614365516,0.022142740604196645,0.05245399104895304,1.9580975875267377,2.70611053844857
389,666140,Brandon McIlwain,27.356605065023956,OF,,AAA,1125.0,2.2066091538259225,0.01120953509021031,0.026689369262405505,1.9317159157122679,1.4493440265384898
390,805763,Drake Logan,25.089664613278575,3B,,AAA,905.0,1.2144657303523365,0.01074339435531696,0.025579510369802286,1.9222140929561913,1.1514413772075898
391,680971,Jake Anchia,28.594113620807665,C,,AAA,873.0,1.152822850575265,0.017329250822440637,0.04126012100581106,1.9002726145044457,1.561941171876655
392,678218,Brandon Valenzuela,25.01574264202601,C,,AAA,1593.0,2.9950810330039728,0.004493684613222785,0.010699249079101867,1.884424075494511,1.2951992768830398
393,682191,Dawson Dimon,26.39561943874059,C,,AAA,292.0,1.0825079898602465,0.014310077650176002,0.03407161345280001,1.8765772413216544,0.8364911077353566
394,663944,Cody Roberts,29.311430527036276,C,,AAA,905.0,5.233956045515592,0.009744066592917896,0.02320015855456643,1.873344659830038,1.1251174390616487
395,688226,Anthony Mulrine,27.526351813826146,C,,AAA,667.0,0.5765604085712163,0.01827945846308159,0.043522374733383475,1.8674263544347596,0.9041789679806012
396,807727,Charles McAdoo,23.592060232717316,2B,,AA,1127.0,-0.35801586264564433,0.011386505737981865,0.03369395375402748,1.8664386387861776,1.2639706374429789
