rank,prospect_id,name,age,position,organization,level,predicted_fv,predicted_tier,confidence_score,milb_games,model_version
127,135,Jaiden Lo Re,18.0,SS,Baltimore Orioles,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
128,136,Logan Braunschweig,22.0,CF,Atlanta Braves,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
129,137,Cardell Thibodeaux,21.0,CF,San Diego Padres,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
130,138,Alex Breckheimer,22.0,SP,St. Louis Cardinals,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
131,139,Colton Book,23.0,SP,Chicago Cubs,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
132,140,Logan Dawson,19.0,SS,Philadelphia Phillies,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
133,141,Parker Coil,21.0,SP,Milwaukee Brewers,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
134,142,Tyler Van Dyke,22.0,SP,St. Louis Cardinals,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
135,143,Jake McCutcheon,21.0,2B,Miami Marlins,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
136,144,Hayden Murphy,22.0,SP,Arizona Diamondbacks,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
137,145,Collin Rothermel,23.0,SP,Arizona Diamondbacks,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
138,146,Zack Mack,22.0,SP,New York Mets,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
139,147,Cade Fisher,22.0,SP,Boston Red Sox,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
140,148,Will Cresswell,22.0,C,Toronto Blue Jays,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
141,149,Noah Edders,22.0,SP,Chicago Cubs,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
142,150,Levi Huesman,22.0,SP,Washington Nationals,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
143,151,Conner O'Neal,23.0,C,Los Angeles Dodgers,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
144,152,Riely Hunsaker,22.0,SP,Chicago Cubs,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
145,153,JoJo Parker,19.0,SS,Toronto Blue Jays,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
146,154,Gavin Kilen,21.0,SS,San Francisco Giants,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
147,155,Liam Doyle,21.0,SP,St. Louis Cardinals,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
148,156,Tate Southisene,19.0,SS,Atlanta Braves,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
149,157,Daniel Pierce,19.0,SS,Tampa Bay Rays,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
150,158,Riley Maddox,23.0,SP,Washington Nationals,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
151,159,Dylan Brown,21.0,SP,Boston Red Sox,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
152,160,Kerrington Cross,23.0,3B,San Diego Padres,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
153,161,Trace Baker,21.0,SP,Toronto Blue Jays,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
154,162,Alex Galvan,24.0,SP,Arizona Diamondbacks,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
155,163,Joey Wimpelberg,20.0,SP,Detroit Tigers,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
156,164,Luke Roupe,19.0,SP,Milwaukee Brewers,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
157,166,Anthony Karoly,21.0,SP,Seattle Mariners,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
158,641,Orelvis Martinez,,2B,,,40,Org Filler,0.9966339468955994,317,v1.0
159,643,Denzer Guzman,,SS,,,40,Org Filler,0.998170018196106,102,v1.0
160,655,Will Wagner,,3B,,,40,Org Filler,0.9975709319114685,253,v1.0
161,659,Sal Stewart,,3B,,,40,Org Filler,0.9973006844520569,109,v1.0
162,660,Max Muncy,,3B,,,40,Org Filler,0.9977879524230957,10,v1.0
163,673,Cam Devanney,,SS,,,40,Org Filler,0.9968343377113342,231,v1.0
164,688,Tirso Ornelas,,LF,,,40,Org Filler,0.998391330242157,370,v1.0
165,727,Zach Dezenzo,,LF,,,40,Org Filler,0.997663140296936,141,v1.0
166,745,Shay Whitcomb,,LF,,,40,Org Filler,0.9978097081184387,359,v1.0
167,747,Christian Koss,,2B,,,40,Org Filler,0.9988272786140442,204,v1.0
168,751,Zac Veen,,LF,,,40,Org Filler,0.995743453502655,172,v1.0
169,765,Thomas Saggese,,2B,,,40,Org Filler,0.9977021813392639,367,v1.0
170,766,Ben Williamson,,3B,,,40,Org Filler,0.9982118606567383,124,v1.0
171,770,Justin Foscue,,1B,,,40,Org Filler,0.9978446960449219,101,v1.0
172,792,Rafael Flores,,OF,,,40,Org Filler,0.9984373450279236,226,v1.0
173,793,Alejandro Osuna,,LF,,,40,Org Filler,0.9984638690948486,193,v1.0
174,794,Drew Romo,,C,,,40,Org Filler,0.9986966252326965,101,v1.0
175,796,Gage Workman,,OF,,,40,Org Filler,0.9984036087989807,354,v1.0
176,801,Everson Pereira,,CF,,,40,Org Filler,0.9983839988708496,102,v1.0
177,802,Petey Halpin,,OF,,,40,Org Filler,0.9987151622772217,308,v1.0
178,805,Caleb Durbin,,3B,,,40,Org Filler,0.9981285929679871,101,v1.0
179,806,Tyler Locklear,,1B,,,40,Org Filler,0.9982622265815735,83,v1.0
180,807,Kenedy Corona,,CF,,,40,Org Filler,0.9987505674362183,277,v1.0
181,809,Jorge Barrosa,,LF,,,40,Org Filler,0.9983110427856445,120,v1.0
182,811,Blake Dunn,,LF,,,40,Org Filler,0.9985023736953735,124,v1.0
183,825,Tim Tawa,,2B,,,40,Org Filler,0.9983761310577393,234,v1.0
184,830,Billy Cook,,OF,,,40,Org Filler,0.9979935884475708,232,v1.0
185,837,Jair Camargo,,C,,,40,Org Filler,0.9983178377151489,74,v1.0
186,845,Javier Sanoja,,2B,,,40,Org Filler,0.9980648159980774,31,v1.0
187,856,Maximo Acosta,,SS,,,40,Org Filler,0.9988724589347839,214,v1.0
188,857,Tsung-Che Cheng,,SS,,,40,Org Filler,0.9987572431564331,123,v1.0
189,862,César Prieto,,OF,,,40,Org Filler,0.9986286163330078,115,v1.0
190,883,Kameron Misner,,OF,,,40,Org Filler,0.9985080361366272,117,v1.0
191,885,George Valera,,OF,,,40,Org Filler,0.9978418350219727,132,v1.0
192,887,Jakob Marsee,,CF,,,40,Org Filler,0.998099148273468,129,v1.0
193,904,Tyler Callihan,,LF,,,40,Org Filler,0.9985734224319458,187,v1.0
194,905,Colby Thomas,,RF,,,40,Org Filler,0.9985276460647583,54,v1.0
195,908,Johnathan Rodríguez,,OF,,,40,Org Filler,0.9971712231636047,107,v1.0
196,937,Dylan Beavers,,RF,,,40,Org Filler,0.9989054203033447,123,v1.0
197,940,Tyler Black,,OF,,,40,Org Filler,0.9987053871154785,64,v1.0
198,946,Zach Cole,,CF,,,40,Org Filler,0.9986274242401123,111,v1.0
199,969,Darren Baker,,2B,,,40,Org Filler,0.9980906844139099,105,v1.0
200,974,Matthew Lugo,,LF,,,40,Org Filler,0.9978654980659485,117,v1.0
201,8,Daniel Lopez,19.0,SP,Baltimore Orioles,Rookie,40,Org Filler,0.9987776875495911,0,v1.0
202,979,Abimelec  Ortiz,,OF,,,40,Org Filler,0.9973853230476379,80,v1.0
