rank,mlb_player_id,full_name,current_age,age_tier,primary_position,current_team,highest_level,total_pa,ops,obp,slg,iso,bb_rate,so_rate,pred_mlb_wrc_plus,pred_mlb_woba,pred_mlb_ops,age_factor,level_age_factor,combined_age_factor,prospect_value_score
233,703161,Alexis Hernandez,20.78028747433265,Elite Youth,SS,0,A+,349,0.5058898439987265,0.2836676217765043,0.2222222222222222,0.05387205387205385,0.12893982808022922,0.30945558739255014,81.1025787965616,0.08378223495702004,0.4,1.6003247334534894,1.2579568788501025,2.0131395068417737,113.96302222651006
234,692374,Jose Ramos,22.954140999315538,Premium Prospect,SS,0,AAA,465,0.6349232144308117,0.3225806451612903,0.3123425692695214,0.09319899244332494,0.1053763440860215,0.24516129032258063,87.34193548387097,0.1617741935483871,0.5714308929877305,0.558971718725796,1.8939425051334702,1.0586602972622956,113.74276179068305
235,806071,Jonny Farmelo,21.078713210130047,Premium Prospect,OF,0,A+,350,0.8049975454099165,0.36857142857142855,0.436426116838488,0.18556701030927836,0.14285714285714285,0.2571428571428571,85.14399999999999,0.13429999999999995,0.5634982817869415,1.4202547724553978,1.2131930184804929,1.7230431744064896,113.22083763439635
236,807975,Yeiker Reyes,19.975359342915812,Elite Youth,OF,0,A,381,0.5915563746021109,0.31496062992125984,0.2765957446808511,0.05471124620060791,0.11286089238845144,0.2545931758530184,80.4503937007874,0.07562992125984251,0.4,2.20820025527838,0.9806416837782339,2.1654532164557163,112.83682987617387
237,814431,Jackson Castillo,22.43668720054757,Premium Prospect,OF,0,AA,957,0.7212779132319362,0.35214211076280044,0.3691358024691358,0.12222222222222223,0.13479623824451412,0.20689655172413793,86.75653082549634,0.15445663531870432,0.577022330585549,0.6875127664589192,1.4813963039014373,1.018478871117295,112.46127984315918
238,804858,Bryan Rincon,21.66461327857632,Premium Prospect,SS,0,A+,496,0.7120185666693752,0.35685483870967744,0.35516372795969775,0.13602015113350127,0.16733870967741934,0.21975806451612903,84.58629032258064,0.12732862903225806,0.49841299666856265,1.1235308210838737,1.1253080082135523,1.2643182304404308,112.03037431481343
239,809707,Charlie Condon,22.48596851471595,Premium Prospect,OF,0,AA,513,0.757269887046383,0.3508771929824561,0.4063926940639269,0.1598173515981735,0.10721247563352826,0.2651072124756335,86.68771929824561,0.15359649122807015,0.6058159096371064,0.6740928581076664,1.4725256673511289,0.9926190357416212,111.3771006615932
240,800424,Oswaldo Osorio,20.490075290896645,Elite Youth,SS,0,A,492,0.5781569145740719,0.3170731707317073,0.26108374384236455,0.08866995073891626,0.14227642276422764,0.3130081300813008,80.53658536585365,0.07670731707317073,0.4,1.7973106070838198,0.9150154004106777,1.6445668848031598,110.77934101384866
241,806965,Starlyn Caba,19.838466803559207,Elite Youth,SS,0,A,346,0.5728343700622037,0.3236994219653179,0.2491349480968858,0.04152249134948097,0.14450867052023122,0.1416184971098266,80.80693641618497,0.08008670520231212,0.4,2.3324864286935787,0.998095482546201,2.328044167579382,110.65342923331525
242,800188,Dario Laverde,20.61327857631759,Elite Youth,C,0,A+,286,0.6963036963036964,0.33916083916083917,0.35714285714285715,0.09920634920634919,0.0979020979020979,0.23776223776223776,83.74405594405594,0.11680069930069928,0.4874125874125874,1.7108838806920654,1.2830082135523615,2.1950780713622584,110.21081031861152
