prospect_id,name,position,fangraphs_player_id,fv,top_100_rank,hit_future,game_power_future,speed_future,mlb_expectation,mlb_expectation_numeric,fb_future,cmd_future,velocity_sits_high,best_secondary
8307,Owen Caissie,RF,27496,45,,35.0,60.0,30.0,Part-Time,1,,,,
8306,Walker Janek,C,sa3025254,45,,40.0,50.0,50.0,Part-Time,1,,,,
8301,Brayden Taylor,3B,sa3022921,45,,35.0,55.0,50.0,Part-Time,1,,,,
8279,Brice Matthews,2B,33280,45,,45.0,45.0,55.0,Part-Time,1,,,,
8308,Seaver King,SS,sa3025414,45,,50.0,40.0,60.0,Part-Time,1,,,,
8406,Tommy Troy,SS,sa3022561,45,,35.0,45.0,80.0,Part-Time,1,,,,
8300,Eduardo Tait,C,sa3022162,45,,40.0,60.0,30.0,Part-Time,1,,,,
8356,Demetrio Crisantes,2B,sa3021051,45,,55.0,40.0,40.0,Part-Time,1,,,,
8267,Blake Mitchell,C,sa3022756,45,,30.0,55.0,35.0,Part-Time,1,,,,
8304,Bryce Rainer,SS,sa3066592,45,,40.0,55.0,55.0,Part-Time,1,,,,
8494,Vance Honeycutt,CF,sa3025526,45,,30.0,45.0,60.0,Part-Time,1,,,,
8273,Jansel Luis,SS,sa3018508,45,,40.0,55.0,50.0,Part-Time,1,,,,
8392,Cris Rodriguez,RF,sa3066593,45,,40.0,60.0,40.0,Part-Time,1,,,,
8391,Devin Fitz-Gerald,3B,sa3067320,45,,50.0,55.0,50.0,Part-Time,1,,,,
8352,Theo Gillen,CF,sa3025565,45,,60.0,50.0,55.0,Part-Time,1,,,,
8270,Yolfran Castillo,SS,sa3023726,45,,55.0,55.0,50.0,Part-Time,1,,,,
8331,Christian Franklin,CF,sa3017510,45,,45.0,45.0,50.0,Part-Time,1,,,,
8291,Luke Dickerson,2B,sa3067329,45,,45.0,50.0,70.0,Part-Time,1,,,,
8343,Cristopher Polanco,SS,sa3067125,45,,60.0,40.0,60.0,Part-Time,1,,,,
8967,Ryan Ignoffo,C,sa3022573,40,,45.0,30.0,40.0,Bench,0,,,,
9118,Esmil Valencia,LF,sa3021082,40,,55.0,45.0,45.0,Bench,0,,,,
8429,Tirso Ornelas,LF,22566,40,,45.0,45.0,45.0,Bench,0,,,,
8931,Nate Furman,2B,sa3020763,40,,60.0,30.0,60.0,Bench,0,,,,
8705,Rayner Arias,CF,sa3021076,40,,40.0,55.0,50.0,Bench,0,,,,
8678,Charlie Szykowny,3B,sa3022689,40,,50.0,45.0,40.0,Bench,0,,,,
8635,Victor Hurtado,RF,sa3023888,40,,50.0,55.0,40.0,Bench,0,,,,
8426,Cole Carrigg,CF,sa3022596,40,,40.0,45.0,55.0,Bench,0,,,,
8667,Jacob Cozart,C,sa3025434,40,,20.0,40.0,30.0,Bench,0,,,,
9115,Nathan Flewelling,C,sa3067041,40,,40.0,50.0,30.0,Bench,0,,,,
8484,Jared Thomas,LF,sa3025252,40,,40.0,50.0,50.0,Bench,0,,,,
8453,Kelvin Hidalgo,SS,sa3018472,40,,30.0,50.0,50.0,Bench,0,,,,
8938,Johan Rodriguez,SS,sa3024364,40,,50.0,45.0,50.0,Bench,0,,,,
8853,Petey Halpin,CF,27931,40,,40.0,35.0,60.0,Bench,0,,,,
8485,Max Anderson,2B,sa3022567,40,,35.0,50.0,50.0,Bench,0,,,,
8731,Jancel Villarroel,DH,sa3020102,40,,50.0,50.0,40.0,Bench,0,,,,
8831,Roberto Campos,RF,sa3014683,40,,45.0,50.0,50.0,Bench,0,,,,
8455,Hao-Yu Lee,2B,sa3017863,40,,40.0,50.0,30.0,Bench,0,,,,
8802,John Peck,SS,sa3022896,40,,35.0,45.0,45.0,Bench,0,,,,
8498,Joseph Sullivan,LF,sa3025413,40,,40.0,55.0,55.0,Bench,0,,,,
8642,Justin Foscue,1B,27501,40,,60.0,35.0,30.0,Bench,0,,,,
8703,Kenedy Corona,CF,26244,40,,35.0,35.0,60.0,Bench,0,,,,
8565,Shay Whitcomb,2B,27789,40,,40.0,50.0,55.0,Bench,0,,,,
8558,Charles Davalan,LF,sa3029860,40,,60.0,35.0,60.0,Bench,0,,,,
8706,Javier Vaz,2B,sa3019906,40,,60.0,30.0,60.0,Bench,0,,,,
8397,Denzer Guzman,SS,28816,40,,30.0,40.0,60.0,Bench,0,,,,
8820,Capri Ortiz,SS,sa3018473,40,,35.0,30.0,70.0,Bench,0,,,,
8851,Kendall George,CF,sa3022660,40,,40.0,40.0,70.0,Bench,0,,,,
8600,Juan Flores,C,sa3021185,40,,35.0,30.0,20.0,Bench,0,,,,
8797,Ryan Lasko,CF,sa3022539,40,,30.0,40.0,60.0,Bench,0,,,,
8369,Ramon Ramirez,C,sa3021637,40,,35.0,50.0,40.0,Bench,0,,,,
8585,Kellon Lindsey,CF,sa3067042,40,,40.0,40.0,80.0,Bench,0,,,,
8474,Yandel Ricardo,3B,sa3024305,40,,45.0,50.0,40.0,Bench,0,,,,
8511,Cameron Cauley,SS,sa3017167,40,,30.0,45.0,70.0,Bench,0,,,,
8708,Joswa Lugo,SS,sa3023894,40,,40.0,55.0,60.0,Bench,0,,,,
8737,Gabriel Davalillo,C,sa3068659,40,,30.0,50.0,30.0,Bench,0,,,,
8828,Deyvison De Los Santos,DH,sa3015168,40,,35.0,60.0,30.0,Bench,0,,,,
8786,Chris Arroyo,RF,sa3026239,40,,40.0,60.0,40.0,Bench,0,,,,
9034,Zach Ehrhard,RF,sa3025247,40,,40.0,50.0,55.0,Bench,0,,,,
9171,Andrew Pintar,CF,sa3020715,40,,30.0,45.0,60.0,Bench,0,,,,
9172,Callan Moss,1B,sa3025392,40,,45.0,45.0,40.0,Bench,0,,,,
8883,Roynier Hernandez,3B,sa3018495,40,,55.0,30.0,45.0,Bench,0,,,,
8720,Brandon Valenzuela,C,sa3005729,40,,40.0,40.0,30.0,Bench,0,,,,
8825,Noah Miller,SS,sa3017512,40,,45.0,30.0,45.0,Bench,0,,,,
9038,Andres Valor,CF,sa3021278,40,,35.0,55.0,50.0,Bench,0,,,,
8588,Ashly Andujar,SS,sa3023890,40,,55.0,45.0,60.0,Bench,0,,,,
8427,Dylan Dreiling,LF,sa3025251,40,,55.0,45.0,55.0,Bench,0,,,,
9093,Brandon Compton,LF,sa3029229,40,,40.0,55.0,50.0,Bench,0,,,,
8804,Juan Sanchez,SS,sa3067129,40,,40.0,50.0,40.0,Bench,0,,,,
8544,Gabriel Rincones Jr.,LF,sa3020758,40,,35.0,50.0,40.0,Bench,0,,,,
9036,Will Simpson,1B,sa3022530,40,,45.0,50.0,30.0,Bench,0,,,,
8510,Omar Alfonzo,C,sa3015665,40,,40.0,50.0,20.0,Bench,0,,,,
8719,Miguel Bleis,CF,sa3016834,40,,35.0,55.0,60.0,Bench,0,,,,
8887,Kenny Fenelon,CF,sa3067474,40,,40.0,45.0,60.0,Bench,0,,,,
8792,Samuel Zavala,CF,sa3015718,40,,35.0,45.0,50.0,Bench,0,,,,
9031,Hendry Mendez,LF,sa3015727,40,,60.0,30.0,40.0,Bench,0,,,,
9040,Brock Wilken,3B,sa3022499,40,,35.0,55.0,40.0,Bench,0,,,,
9088,Cade McGee,3B,sa3025153,40,,50.0,45.0,40.0,Bench,0,,,,
8747,Mike Boeve,3B,sa3022658,40,,55.0,40.0,40.0,Bench,0,,,,
8523,Josh Adamczewski,LF,sa3023168,40,,45.0,55.0,50.0,Bench,0,,,,
8830,Yeremy Cabrera,CF,sa3018549,40,,30.0,50.0,60.0,Bench,0,,,,
8697,Aidan Smith,CF,sa3022611,40,,40.0,45.0,60.0,Bench,0,,,,
9143,Maykel Coret,RF,sa3067683,40,,30.0,50.0,55.0,Bench,0,,,,
8570,Josh Kuroda-Grauer,2B,sa3025386,40,,55.0,30.0,50.0,Bench,0,,,,
8935,Chase Davis,CF,sa3022426,40,,45.0,45.0,50.0,Bench,0,,,,
8629,Drew Romo,C,27763,40,,50.0,30.0,40.0,Bench,0,,,,
8809,Dameury  Pena,2B,sa3021624,40,,60.0,45.0,45.0,Bench,0,,,,
8769,Blaze Jordan,1B,sa3014537,40,,50.0,50.0,30.0,Bench,0,,,,
8875,Daniel Susac,C,sa3019997,40,,35.0,45.0,30.0,Bench,0,,,,
8986,Diego Velasquez,SS,sa3016144,40,,50.0,30.0,40.0,Bench,0,,,,
8764,Jacob Gonzalez,SS,sa3022498,40,,40.0,45.0,40.0,Bench,0,,,,
9013,Kemp Alderman,LF,sa3022562,40,,30.0,60.0,30.0,Bench,0,,,,
8446,George Wolkow,1B,sa3022817,40,,20.0,60.0,40.0,Bench,0,,,,
8663,Brandon Winokur,RF,sa3022613,40,,30.0,55.0,50.0,Bench,0,,,,
8632,Kavares Tears,RF,sa3043596,40,,35.0,50.0,50.0,Bench,0,,,,
8371,Héctor  Rodríguez,RF,sa3015828,40,,50.0,45.0,45.0,Bench,0,,,,
8812,Marco Dinges,C,sa3025495,40,,45.0,45.0,50.0,Bench,0,,,,
8454,Gavin Fien,RF,sa3069166,40,,40.0,55.0,50.0,Bench,0,,,,
8557,Jesus Baez,3B,sa3018507,40,,45.0,50.0,40.0,Bench,0,,,,
8833,Andres Arias,RF,sa3025145,40,,40.0,55.0,50.0,Bench,0,,,,
8615,Tony Blanco Jr.,1B,sa3019722,40,,30.0,70.0,30.0,Bench,0,,,,
9095,Eric Bitonti,1B,sa3022866,40,,35.0,50.0,30.0,Bench,0,,,,
8419,Austin Charles,3B,sa3020497,40,,30.0,55.0,55.0,Bench,0,,,,
8899,Dashyll Tejeda,CF,sa3021315,40,,55.0,40.0,50.0,Bench,0,,,,
9063,Tanner Murray,2B,sa3016805,40,,50.0,45.0,40.0,Bench,0,,,,
8733,Kevin Bazzell,C,sa3025511,40,,50.0,50.0,30.0,Bench,0,,,,
8759,Luke Adams,1B,sa3020135,40,,55.0,40.0,30.0,Bench,0,,,,
8450,Carlos Jorge,CF,sa3016722,40,,35.0,45.0,60.0,Bench,0,,,,
8658,Andy Perez,SS,sa3015857,40,,50.0,45.0,50.0,Bench,0,,,,
9145,Dillon Head,CF,sa3022753,40,,50.0,30.0,70.0,Bench,0,,,,
9139,Cristofer Torin,2B,sa3018938,40,,60.0,30.0,40.0,Bench,0,,,,
9211,Leonardo Pineda,CF,sa3023721,40,,40.0,45.0,60.0,Bench,0,,,,
9210,Byron Chourio,CF,sa3018644,40,,50.0,40.0,55.0,Bench,0,,,,
8911,Maximo Acosta,SS,27963,40,,45.0,40.0,55.0,Bench,0,,,,
9169,Warel Solano,SS,sa3067685,40,,40.0,45.0,50.0,Bench,0,,,,
9209,Elian De La Cruz,RF,sa3067695,40,,40.0,55.0,40.0,Bench,0,,,,
9191,Raymer Medina,2B,sa3067696,40,,50.0,40.0,50.0,Bench,0,,,,
8681,Dario Laverde,C,sa3018470,40,,45.0,45.0,20.0,Bench,0,,,,
8525,Luis Baez,1B,sa3018482,40,,35.0,55.0,40.0,Bench,0,,,,
8536,Josh Owens,SS,sa3069169,40,,45.0,55.0,50.0,Bench,0,,,,
8856,Paulino Santana,RF,sa3023718,40,,40.0,50.0,55.0,Bench,0,,,,
8599,Edgar Montero,SS,sa3024109,40,,50.0,50.0,40.0,Bench,0,,,,
8457,Griffin Burkholder,CF,sa3025418,40,,40.0,50.0,70.0,Bench,0,,,,
8725,Juneiker Caceres,RF,sa3024329,40,,55.0,40.0,45.0,Bench,0,,,,
8554,Ronny Cruz,SS,sa3067336,40,,35.0,55.0,40.0,Bench,0,,,,
8593,Kendry Martínez,2B,sa3067676,40,,50.0,45.0,40.0,Bench,0,,,,
8760,Juan Cabada,SS,sa3067679,40,,55.0,45.0,55.0,Bench,0,,,,
8625,Ayden Johnson,3B,sa3067681,40,,40.0,55.0,50.0,Bench,0,,,,
9192,Wilfri De La Cruz,3B,sa3067682,40,,50.0,45.0,40.0,Bench,0,,,,
8347,Deivid Coronil,SS,sa3067691,40,,45.0,50.0,55.0,Bench,0,,,,
8929,Marconi German,SS,sa3067715,40,,55.0,40.0,55.0,Bench,0,,,,
8507,Ruben Castillo,CF,sa3067849,40,,40.0,50.0,60.0,Bench,0,,,,
9251,James  Quinn-Irons,CF,sa3040344,40,,40.0,55.0,50.0,Bench,0,,,,
8374,Orelvis Martinez,3B,25967,40,,30.0,60.0,40.0,Bench,0,,,,
8928,Christian Cerda,C,sa3015623,40,,40.0,40.0,30.0,Bench,0,,,,
8858,Daniel Dickinson,2B,sa3030286,40,,50.0,45.0,40.0,Bench,0,,,,
8611,Robert Arias,CF,sa3024304,40,,65.0,35.0,60.0,Bench,0,,,,
9381,Emilio Sanchez,SS,sa3024110,40,,50.0,30.0,50.0,Bench,0,,,,
8322,Jorge Quintana,3B,sa3024107,40,,45.0,55.0,45.0,Bench,0,,,,
8660,Eddinson Paulino,3B,sa3009538,40,,45.0,45.0,45.0,Bench,0,,,,
8916,Brailyn Antunez,CF,sa3067486,40,,40.0,50.0,60.0,Bench,0,,,,
9120,José Anderson,RF,sa3024133,40,,40.0,50.0,40.0,Bench,0,,,,
8641,Luis Cova,CF,sa3023723,40,,50.0,50.0,50.0,Bench,0,,,,
8944,Brady  Ebel,SS,sa3069100,40,,50.0,45.0,50.0,Bench,0,,,,
8912,Ethan Hedges,3B,sa3033512,40,,45.0,40.0,50.0,Bench,0,,,,
8571,Kaeden Kent,SS,sa3035283,40,,45.0,45.0,50.0,Bench,0,,,,
8841,Jake Cook,CF,sa3029303,40,,55.0,30.0,80.0,Bench,0,,,,
9065,Jose Castro,RF,sa3023752,40,,40.0,55.0,40.0,Bench,0,,,,
8401,Josh Kasevich,SS,sa3020203,40,,65.0,30.0,45.0,Bench,0,,,,
8653,Shotaro Morii,DH,sa3067343,40,,45.0,50.0,45.0,Bench,0,,,,
8751,Adriel Radney,CF,sa3023886,40,,50.0,50.0,55.0,Bench,0,,,,
8985,Jair Camargo,C,21730,40,,20.0,50.0,20.0,Bench,0,,,,
8701,Ernesto Martinez Jr.,1B,sa3003173,40,,40.0,55.0,45.0,Bench,0,,,,
8689,Gage Workman,3B,27573,40,,20.0,40.0,55.0,Bench,0,,,,
9234,Jeral Toledo,2B,sa3015590,40,,55.0,40.0,50.0,Bench,0,,,,
8652,Chris Suero,C,sa3018614,40,,30.0,40.0,60.0,Bench,0,,,,
8709,Colin Houck,SS,sa3022964,40,,35.0,45.0,55.0,Bench,0,,,,
8987,Heriberto Rincon,CF,sa3021238,40,,40.0,50.0,60.0,Bench,0,,,,
9059,Kala'i Rosario,RF,sa3015199,40,,35.0,55.0,45.0,Bench,0,,,,
8732,Benjamin Cowles,SS,sa3016976,40,,40.0,45.0,50.0,Bench,0,,,,
9189,Jose Salas,2B,sa3014690,40,,45.0,45.0,40.0,Bench,0,,,,
8448,Eli Serrano III,LF,sa3025407,40,,55.0,45.0,50.0,Bench,0,,,,
8682,Boston Baro,SS,sa3022962,40,,50.0,50.0,50.0,Bench,0,,,,
8738,Daiverson Gutierrez,C,sa3021086,40,,40.0,45.0,30.0,Bench,0,,,,
8695,Quentin Young,3B,sa3069187,40,,30.0,50.0,40.0,Bench,0,,,,
9008,Khadim Diaw,C,sa3025259,40,,45.0,35.0,40.0,Bench,0,,,,
