prospect_id,mlb_player_id,name,position,season,level,team,games,pa,ab,r,h,doubles,triples,hr,rbi,bb,ibb,so,sb,cs,hbp,sf,avg,obp,slg,ops,babip,iso,bb_rate,k_rate,power_speed_number,bb_per_k,xbh,xbh_rate,sb_success_rate,target_avg,target_obp,target_slg,target_ops,target_bb_rate,target_k_rate,target_hr_per_600,target_sb_per_600,target_rbi_per_600,target_r_per_600,target_career_games,target_career_pa,target_iso,hit_future,game_power_future,raw_power_future,speed_future,fielding_future
9990,672779,Tucupita Marcano,SS,2021,AAA,,91,412,355,58.0,89,11,3,7,39,53,,59,12.0,,,,0.24572527472527472527,0.34291208791208791209,0.38208791208791208791,0.72500000000000000000,,0.13636263736263736264,0.12864077669902912,0.14320388349514562,8.842105263157896,0.8983050847457628,21,0.059154929577464786,1.0,0.21674876847290642,0.2550335570469799,0.33070842640538806,0.6459017962906556,0.058165548098434,0.19686800894854586,6.7114093959731544,9.395973154362416,45.63758389261745,53.691275167785236,30,447,0.11395965793248164,,,,,
9988,605361,Nick Martini,RF,2021,AAA,,76,323,270,,74,11,3,11,40,42,,70,,,,,,,,,,0,0.13003095975232198,0.21671826625386997,0.0,0.6,25,0.09259259259259259,0.0,0.23529411764705882,0.2787456445993031,0.40326801581478766,0.6695852898019076,0.06968641114982578,0.21951219512195122,22.996515679442506,2.0905923344947737,91.98606271777003,77.35191637630662,40,398,0.16797389816772884,,,,,
9989,691176,Jasson Domínguez,LF,2021,A,,49,214,186,26.0,48,9,1,5,18,21,1.0,67,7.0,3.0,5.0,2.0,0.28420408163265306122,0.35014285714285714286,0.44297959183673469388,0.79312244897959183673,0.36837500000000000000,0.15877551020408163266,0.09813084112149532,0.3130841121495327,5.833333333333333,0.31343283582089554,15,0.08064516129032258,0.7,0.24786324786324787,0.32136105860113423,0.4592758620689655,0.7465933908045977,0.10207939508506617,0.2684310018903592,18.147448015122873,32.89224952741021,65.78449905482042,79.39508506616257,30,529,0.2114126142057176,,,,,
9995,665482,Gilberto Celestino,CF,2021,AAA,,49,211,183,27.0,53,13,0,5,24,24,1.0,43,4.0,0.0,4.0,0.0,0.29553061224489795918,0.37936734693877551020,0.52655102040816326531,0.90591836734693877551,0.33425531914893617021,0.23102040816326530613,0.11374407582938388,0.2037914691943128,4.444444444444445,0.5581395348837209,18,0.09836065573770492,1.0,0.22162162162162163,0.2860635696821516,0.26467731829573937,0.49363032581453636,0.08557457212713937,0.22249388753056235,5.8679706601467,5.8679706601467,39.60880195599022,49.87775061124694,20,409,0.04305569667411774,,,,,
9495,668472,Nick Pratto,1B,2021,AAA,,63,271,225,,58,15,3,21,55,37,,77,,,,,,,,,,0,0.13653136531365315,0.28413284132841327,0.0,0.4805194805194805,39,0.17333333333333334,0.0,0.21551724137931033,0.2808349146110057,0.4101190094015134,0.741439692731025,0.09108159392789374,0.3870967741935484,15.939278937381404,1.1385199240986716,62.61859582542695,58.064516129032256,20,527,0.19460176802220308,,,,,
9997,668885,Austin Martin,CF,2023,AAA,,58,252,205,33.0,54,11,0,6,28,36,,43,16.0,4.0,7.0,3.0,,0.33717241379310344828,0.34412068965517241379,0.68129310344827586207,,0.34412068965517241379,0.14285714285714285,0.17063492063492064,8.727272727272727,0.8372093023255814,17,0.08292682926829269,0.8,0.2647814910025707,0.3310502283105023,0.3663115024766098,0.6972343148046231,0.0958904109589041,0.1780821917808219,2.73972602739726,21.91780821917808,31.506849315068493,79.45205479452055,20,438,0.10153001147403912,,,,,
9996,669369,Bryce Johnson,CF,2021,AAA,,98,407,353,65.0,101,15,5,9,44,48,1.0,108,30.0,4.0,4.0,1.0,0.32109183673469387755,0.41060204081632653061,0.49524489795918367347,0.90584693877551020408,0.40731868131868131868,0.17415306122448979592,0.11793611793611794,0.26535626535626533,13.846153846153847,0.4444444444444444,29,0.0821529745042493,0.8823529411764706,0.1774193548387097,0.24285714285714285,0.2425314814814815,0.43152314814814813,0.08571428571428572,0.24285714285714285,4.285714285714286,12.857142857142858,38.57142857142857,68.57142857142857,40,224,0.0651121266427718,,,,,
9999,679845,Nick Loftin,LF,2022,AAA,,38,168,153,26.0,33,7,0,5,19,10,,41,5.0,2.0,4.0,1.0,,0.22565789473684210526,0.28028947368421052632,0.50594736842105263158,,0.28028947368421052632,0.05952380952380952,0.24404761904761904,5.0,0.24390243902439024,12,0.0784313725490196,0.7142857142857143,0.21957671957671956,0.2810304449648712,0.40641614434947765,0.7506896186334783,0.08665105386416862,0.14754098360655737,7.0257611241217806,5.620608899297424,61.82669789227167,57.61124121779859,30,427,0.18683942477275808,,,,,
10001,669003,Garrett Mitchell,CF,2021,AA,,34,148,129,16.0,24,1,0,3,10,18,0.0,41,5.0,1.0,1.0,0.0,0.17697058823529411765,0.27517647058823529412,0.25155882352941176471,0.52673529411764705882,0.22272727272727272727,0.07458823529411764706,0.12162162162162163,0.27702702702702703,3.75,0.43902439024390244,4,0.031007751937984496,0.8333333333333334,0.2639751552795031,0.336986301369863,0.43308717179651984,0.7586095836606441,0.10410958904109589,0.3424657534246575,21.36986301369863,32.87671232876712,60.821917808219176,85.47945205479452,40,443,0.16911201651701674,,,,,
10002,686555,Isaac Collins,LF,2023,AAA,,2,9,7,0.0,0,0,0,0,0,2,,1,0.0,0.0,0.0,0.0,,0.23600000000000000000,0E-20,0.23600000000000000000,,0,0.2222222222222222,0.1111111111111111,0.0,2.0,0,0.0,0.0,0.2570694087403599,0.3456521739130435,0.29673015873015873,0.6063650793650793,0.1282608695652174,0.22391304347826088,11.73913043478261,22.17391304347826,70.43478260869566,73.04347826086956,20,460,0.03966074998979885,,,,,
