prospect_id,data_year,name,position,fangraphs_id,target,target_label,fangraphs_fv,hit_future,game_power_future,raw_power_future,speed_future,fielding_future,hard_hit_pct,hit_upside,power_upside,speed_upside,fielding_upside,frame_grade,athleticism_grade,arm_grade,levers_encoded,total_pa,total_ab,total_hr,total_sb,avg_obp,avg_slg,avg_ops,batting_avg,isolated_power,bb_k_ratio,k_rate,bb_rate,played_aaa,played_aa,played_a_plus,highest_level,avg_age,fv_change_1yr,hit_change,power_change,speed_change,plus_tool_count,offensive_ceiling,defensive_floor,hit_power_ratio,power_speed_number_v2,age_relative_ops,levels_per_year,has_elite_tool,tool_variance,is_power_slugger,is_contact_hitter,is_balanced_star,is_average_hitter
9152,2022,Darren Baker,2B,29912,0,Bench,35,55.0,35.0,35.0,55.0,50.0,,20.0,5.0,0.0,10.0,,1.0,40.0,2,,,,,,,,,,,,,0,0,0,1,,0,0.0,0.0,0.0,2,55.0,50.0,1.5714285714285714,27.0,0.0,0.5,0,67.1875,0,0,0,1
9205,2022,David McCabe,3B,sa3019964,0,Bench,35,,,,,,,,,,,,,,2,,,,,,,,,,,,,0,0,0,1,21.0,0,,,,0,,,1.0,,0.0,0.5,0,,0,0,0,1
8232,2022,Jacob Reimer,3B,sa3020416,0,Bench,35,,,,,,,,,,,,,,2,,,,,,,,,,,,,0,0,0,1,17.0,0,,,,0,,,1.0,,0.0,1.0,0,,0,0,0,1
9066,2022,Tsung-Che Cheng,SS,28344,0,Bench,35,60.0,20.0,20.0,60.0,50.0,,25.0,0.0,0.0,10.0,-2.0,,55.0,1,157.0,122.0,4.0,16.0,0.3879808917197452,0.4668535031847133,0.8548343949044584,0.3114754098360656,0.180327868852459,2.142857142857143,0.0891719745222929,0.1910828025477707,0,0,0,1,19.0,0,0.0,0.0,0.0,2,60.0,50.0,3.0,26.56,0.2048343949044585,1.0,1,268.75,0,0,0,1
8183,2023,Carson Williams,SS,30038,2,Regular,55,35.0,60.0,60.0,55.0,70.0,,5.0,35.0,0.0,10.0,1.0,1.0,70.0,3,,,,,,,,,,,,,0,0,0,1,19.0,10,-15.0,10.0,0.0,4,60.0,55.0,0.5833333333333334,34.5,0.0,1.0,1,162.5,0,0,0,1
8390,2023,Termarr Johnson,2B,sa3020214,2,Regular,55,60.0,55.0,60.0,40.0,45.0,,35.0,30.0,-10.0,15.0,-1.0,2.0,50.0,1,82.0,63.0,1.0,6.0,0.2784878048780487,0.299670731707317,0.5781585365853658,0.2222222222222222,0.1428571428571428,0.7619047619047619,0.2560975609756097,0.1951219512195122,0,0,0,2,18.0,0,0.0,0.0,0.0,3,60.0,40.0,1.0909090909090908,29.185714285714287,-0.1718414634146341,2.0,1,62.5,0,0,0,1
8336,2023,Cam Collier,3B,sa3020131,2,Regular,50,45.0,70.0,70.0,30.0,60.0,,25.0,50.0,-10.0,15.0,-1.0,1.0,70.0,2,35.0,27.0,2.0,0.0,0.4636,0.4134571428571428,0.8770571428571428,0.3703703703703703,0.2592592592592592,1.1666666666666667,0.1714285714285714,0.2,0,0,0,1,17.0,5,-5.0,15.0,-10.0,3,70.0,30.0,0.6428571428571429,30.0,0.1270571428571428,1.0,1,229.6875,0,0,1,0
8355,2023,James Triantos,2B,sa3017295,2,Regular,50,60.0,50.0,50.0,50.0,40.0,,25.0,20.0,0.0,10.0,-1.0,,40.0,2,504.0,456.0,7.0,20.0,0.3358392857142857,0.3535416666666666,0.6893809523809523,0.2719298245614035,0.1140350877192982,0.4814814814814814,0.1607142857142857,0.0773809523809523,0,0,0,2,19.0,0,-10.0,-5.0,0.0,1,60.0,40.0,1.2,34.148148148148145,0.0393809523809524,2.0,1,50.0,0,0,0,1
8364,2023,Nick Yorke,2B,27504,2,Regular,50,50.0,55.0,55.0,45.0,40.0,,10.0,15.0,0.0,10.0,-1.0,-1.0,40.0,2,,,,,,,,,,,,,0,0,0,1,20.0,0,-10.0,5.0,0.0,2,55.0,40.0,0.9090909090909092,30.0,0.0,1.0,0,31.25,0,0,0,1
8175,2023,Sebastian Walcott,SS,sa3021069,2,Regular,50,40.0,70.0,70.0,50.0,60.0,,20.0,45.0,-10.0,25.0,2.0,2.0,60.0,3,,,,,,,,,,,,,0,0,0,1,16.0,0,0.0,0.0,0.0,3,70.0,50.0,0.5714285714285714,36.0,0.0,1.0,1,125.0,0,0,0,1
