prospect_id,data_year,name,position,fangraphs_id,target,target_label,fangraphs_fv,hit_future,game_power_future,raw_power_future,speed_future,fielding_future,versatility_future,pitch_sel_future,bat_ctrl_future,hard_hit_pct,hit_upside,power_upside,speed_upside,fielding_upside,frame_grade,athleticism_grade,arm_grade,levers_encoded,total_pa,total_ab,total_hr,total_sb,avg_obp,avg_slg,batting_avg,isolated_power,bb_k_ratio,k_rate,bb_rate,power_speed_number,played_aaa,played_aa,played_a_plus,highest_level,avg_age,fv_change_1yr,hit_change,power_change,speed_change
8212,2022,Harry Ford,C,29958,1,Part-Time,45,50.0,55.0,60.0,60.0,50.0,,,,,25.0,30.0,0.0,20.0,,1.0,50.0,1,65.0,55.0,3.0,3.0,0.38347692307692307692,0.39892307692307692308,0.2909090909090909,0.2909090909090909,0.6428571428571429,0.2153846153846154,0.13846153846153847,3.0,0,0,0,1,18,0,0.0,0.0,0.0
8258,2022,Jeferson Quero,C,sa3015407,1,Part-Time,45,50.0,55.0,60.0,20.0,60.0,,,,,25.0,35.0,-10.0,20.0,2.0,1.0,60.0,3,83.0,68.0,2.0,4.0,0.45155421686746987952,0.57437349397590361446,0.3088235294117647,0.19117647058823528,1.2,0.12048192771084337,0.14457831325301204,2.6666666666666665,0,0,0,1,18,0,0.0,0.0,0.0
8238,2022,Jett Williams,CF,sa3020134,1,Part-Time,45,60.0,45.0,45.0,70.0,55.0,,,,,35.0,25.0,0.0,15.0,,2.0,45.0,1,,,,,,,,,,,,0.0,0,0,0,1,17,0,0.0,0.0,0.0
8864,2022,Jorbit Vivas,2B,23917,1,Part-Time,45,60.0,40.0,40.0,45.0,50.0,,,,,25.0,10.0,0.0,10.0,-1.0,1.0,40.0,1,477.0,413.0,14.0,8.0,0.36906289308176100629,0.44263312368972746331,0.31234866828087166,0.18401937046004843,0.7272727272727273,0.11530398322851153,0.08385744234800839,10.181818181818182,0,0,1,3,20,0,0.0,0.0,0.0
8401,2022,Josh Kasevich,SS,sa3020203,1,Part-Time,45,70.0,35.0,40.0,40.0,55.0,,,,,35.0,5.0,0.0,20.0,-2.0,-1.0,45.0,2,,,,,,,,,,,,0.0,0,0,0,1,20,0,0.0,0.0,0.0
8810,2022,Jud Fabian,CF,sa3019942,1,Part-Time,45,35.0,55.0,60.0,60.0,60.0,,,,,5.0,25.0,0.0,15.0,,1.0,60.0,2,,,,,,,,,,,,0.0,0,0,0,1,20,0,0.0,0.0,0.0
8287,2022,Justin Crawford,CF,sa3020240,1,Part-Time,45,55.0,45.0,55.0,70.0,55.0,,,,,30.0,25.0,0.0,15.0,2.0,2.0,45.0,3,,,,,,,,,,,,0.0,0,0,0,1,17,0,0.0,0.0,0.0
8642,2022,Justin Foscue,1B,27501,1,Part-Time,45,45.0,50.0,60.0,30.0,30.0,,,,,5.0,10.0,0.0,0.0,1.0,-1.0,30.0,1,267.0,229.0,17.0,2.0,0.32897378277153558052,0.46053932584269662921,0.27510917030567683,0.314410480349345,0.3472222222222222,0.2696629213483146,0.09363295880149813,3.5789473684210527,0,1,1,4,22,0,0.0,0.0,0.0
8467,2022,Mikey Romero,3B,sa3020216,1,Part-Time,45,60.0,45.0,50.0,45.0,40.0,,,,,35.0,25.0,-5.0,10.0,1.0,,50.0,2,,,,,,,,,,,,0.0,0,0,0,1,17,0,0.0,0.0,0.0
8825,2022,Noah Miller,SS,sa3017512,1,Part-Time,45,60.0,45.0,45.0,40.0,45.0,,,,,35.0,25.0,0.0,15.0,,1.0,50.0,2,96.0,84.0,2.0,1.0,0.33614583333333333333,0.36766666666666666667,0.23809523809523808,0.13095238095238096,0.34615384615384615,0.2708333333333333,0.09375,1.3333333333333333,0,0,0,1,18,0,0.0,0.0,0.0
