csv_name,db_name,mlb_player_id,prospect_id
Ethan Holliday,Ethan Holliday,815787,8190
Kade Anderson,Kade Anderson,807739,8203
Jamie Arnold,Jamie Arnold,150374,8294
Andrew Fischer,Andrew Fischer,702652,8415
Tyler Bremner,Tyler Bremner,803285,8237
Kyson Witherspoon,Kyson Witherspoon,804817,8236
Aiva Arquette,Aiva Arquette,804109,8207
Dax Kilby,Dax Kilby,828076,8296
Luis Perales,Luis Perales,691384,8517
Cam Collier,Cam Collier,702253,8336
Carson Williams,Carson Williams,700246,8183
Owen Caissie,Owen Caissie,683357,8307
Ricky Tiedemann,Ricky Tiedemann,694357,8261
Brandon Sproat,Brandon Sproat,687075,8220
Tanner McDougal,Tanner McDougal,701780,8333
Gage Wood,Gage Wood,805906,8361
Jacob Reimer,Jacob Reimer,702544,8232
Travis Sykora,Travis Sykora,805809,8263
Cam Caminiti,Cam Caminiti,807284,8269
Cooper Ingle,Cooper Ingle,694876,8230
Gavin Fien,Gavin Fien,815818,8454
Caden Scarborough,Caden Scarborough,807291,8483
Chase DeLauter,Chase DeLauter,800050,8217
Carlos Lagrange,Carlos Lagrange,801739,8399
Jarlin Susana,Jarlin Susana,703186,8192
Esteban Mejia,Esteban Mejia,821757,8954
Ethan Conrad,Ethan Conrad,828255,8329
JR Ritchie,JR Ritchie,702275,8350
Elmer Rodriguez-Cruz,Elmer Rodriguez-Cruz,695684,8281
Juneiker Caceres,Juneiker Caceres,821181,8725
Owen Murphy,Owen Murphy,702566,8275
Liam Doyle,Liam Doyle,824604,8188
Franklin Arias,Franklin Arias,808265,8194
Bo Davidson,Bo Davidson,815589,8445
Charlie Condon,Charlie Condon,809707,8271
Emmanuel Rodriguez,Emmanuel Rodriguez,691181,8216
Ty Johnson,Ty Johnson,694494,8586
Ike Irish,Ike Irish,702610,8276
Xavier Isaac,Xavier Isaac,800060,8286
Henry Bolte,Henry Bolte,703607,8975
Didier Fuentes,Didier Fuentes,800311,8260
Jaxon Wiggins,Jaxon Wiggins,694393,8235
Gage Jump,Gage Jump,695611,8226
Brice Matthews,Brice Matthews,694728,8279
Angel Genao,Angel Genao,694197,8193
Braylon Doughty,Braylon Doughty,815785,8351
River Ryan,River Ryan,689981,8257
Spencer Jones,Spencer Jones,682987,8268
Charles Davalan,Charles Davalan,804560,8558
Jonny Farmelo,Jonny Farmelo,806071,8239
Nate George,Nate George,825582,9212
A.J. Ewing,A.J. Ewing,805999,8359
Nelson Rada,Nelson Rada,703185,8293
Justin Crawford,Justin Crawford,702222,8287
Jonathon Long,Jonathon Long,675085,8417
Max Anderson,Max Anderson,801194,8485
Santiago Suarez,Santiago Suarez,800571,8549
Hayden Alvarez,Hayden Alvarez,820986,8546
Jose Corniell,Jose Corniell,692030,8321
Juan Sanchez,Juan Sanchez,825646,8804
Devin Taylor,Devin Taylor,805127,8360
Parker Messick,Parker Messick,800048,8201
