prospect_id,data_year,name,position,fangraphs_id,target,target_label,fangraphs_fv,hit_future,game_power_future,raw_power_future,speed_future,fielding_future,versatility_future,pitch_sel_future,bat_ctrl_future,hard_hit_pct,hit_upside,power_upside,speed_upside,fielding_upside,frame_grade,athleticism_grade,arm_grade,levers_encoded,total_pa,total_ab,total_hr,total_sb,avg_obp,avg_slg,batting_avg,isolated_power,bb_k_ratio,k_rate,bb_rate,power_speed_number,played_aaa,played_aa,played_a_plus,highest_level,avg_age,fv_change_1yr,hit_change,power_change,speed_change
8193,2022,Angel Genao,SS,sa3015706,0,Bench/Reserve,40,50.0,45.0,45.0,50.0,45.0,,,,,30.0,25.0,0.0,10.0,1.0,1.0,45.0,2,192.0,151.0,1.0,16.0,0.4215833333333333,0.3968541666666666,0.2649006622516556,0.0993377483443708,1.3448275862068966,0.1510416666666666,0.203125,1.8823529411764703,0,0,0,1,17.0,0,0.0,0.0,0.0
8769,2022,Blaze Jordan,1B,sa3014537,0,Bench/Reserve,40,55.0,55.0,60.0,30.0,55.0,,,,,30.0,25.0,-5.0,25.0,-2.0,-1.0,50.0,2,114.0,105.0,6.0,1.0,0.3262543859649122,0.4975614035087719,0.3238095238095238,0.2666666666666666,0.3809523809523809,0.1842105263157894,0.0701754385964912,1.7142857142857142,0,0,0,2,18.0,0,0.0,0.0,0.0
8720,2022,Brandon Valenzuela,C,sa3005729,0,Bench/Reserve,40,45.0,40.0,45.0,30.0,50.0,,,,,15.0,10.0,0.0,10.0,1.0,1.0,60.0,2,443.0,378.0,7.0,4.0,0.4070496613995485,0.4477629796839729,0.2989417989417989,0.1296296296296296,0.59,0.2257336343115124,0.1331828442437923,5.090909090909091,0,0,1,3,20.0,0,0.0,0.0,0.0
9218,2022,Brett Auerbach,2B,sa3014941,0,Bench/Reserve,40,55.0,35.0,40.0,55.0,45.0,,,,,20.0,5.0,0.0,5.0,-1.0,1.0,45.0,1,,,,,,,,,,,,0.0,0,0,0,1,,0,0.0,0.0,0.0
8852,2022,Carlos D. Rodriguez,CF,sa3005478,0,Bench/Reserve,40,60.0,30.0,40.0,70.0,60.0,,,,,15.0,10.0,0.0,5.0,-1.0,1.0,50.0,1,,,,,,,,,,,,0.0,0,0,0,1,20.0,0,0.0,0.0,0.0
8211,2022,Carter Jensen,C,29478,0,Bench/Reserve,40,40.0,50.0,50.0,30.0,45.0,,,,,20.0,25.0,0.0,15.0,-1.0,-1.0,50.0,2,67.0,57.0,1.0,4.0,0.5120597014925373,0.6907462686567164,0.2807017543859649,0.1228070175438596,0.5,0.2985074626865671,0.1492537313432835,1.6,0,0,0,1,17.0,0,0.0,0.0,0.0
8962,2022,César Prieto,2B,30163,0,Bench/Reserve,40,60.0,40.0,40.0,50.0,45.0,,,,,10.0,10.0,0.0,15.0,-1.0,,40.0,1,,,,,,,,,,,,0.0,0,0,0,1,22.0,0,0.0,0.0,0.0
8331,2022,Christian Franklin,CF,sa3017510,0,Bench/Reserve,40,40.0,45.0,50.0,50.0,50.0,,,,,10.0,10.0,0.0,10.0,,,45.0,2,101.0,76.0,1.0,4.0,0.3958811881188118,0.193069306930693,0.2368421052631578,0.0789473684210526,0.8,0.2475247524752475,0.198019801980198,1.6,0,0,0,2,21.0,0,0.0,0.0,0.0
8493,2022,Cooper Kinney,2B,sa3017793,0,Bench/Reserve,40,55.0,50.0,50.0,40.0,45.0,,,,,30.0,30.0,0.0,15.0,1.0,,50.0,2,47.0,35.0,0.0,2.0,0.5053404255319148,0.4112553191489361,0.2857142857142857,0.0857142857142857,1.1111111111111112,0.1914893617021276,0.2127659574468085,0.0,0,0,0,1,18.0,0,0.0,0.0,0.0
8397,2022,Denzer Guzman,SS,28816,0,Bench/Reserve,40,50.0,40.0,50.0,40.0,50.0,,,,,30.0,20.0,-5.0,10.0,1.0,1.0,45.0,2,164.0,141.0,3.0,11.0,0.3164695121951219,0.3117317073170731,0.2127659574468085,0.1489361702127659,0.8333333333333334,0.1463414634146341,0.1219512195121951,4.714285714285714,0,0,0,1,17.0,0,0.0,0.0,0.0
