prospect_id,data_year,name,position,fangraphs_id,target,target_label,fangraphs_fv,fb_future,sl_future,cb_future,ch_future,cmd_future,fb_upside,cmd_upside,velocity_sits_low,velocity_sits_high,velocity_tops,velocity_avg,plus_pitch_count,frame_grade,athleticism_grade,arm_grade,delivery_grade,has_tj_surgery,total_ip,era,whip,k_per_9,bb_per_9,k_bb_ratio,total_k,total_bb,total_hr_allowed,played_aaa,played_aa,played_a_plus,highest_level,avg_age,fv_change_1yr,fb_change,cmd_change,velo_change
8292,2022,Ben Kudrna,SP,sa3018253,0,Bench,40,55.0,50.0,,60.0,45.0,5.0,25.0,91.0,95.0,96.0,93.0000000000000000,2,1.0,1.0,,,0,,,,,,,,,,0,0,0,1,18,0,0.0,0.0,0.0
8508,2022,Blake Burkhalter,DH,sa3020382,0,Bench,40,,,,,,,,,,,,0,,,,,0,,,,,,,,,,0,0,0,1,20,0,,,
8543,2022,Brock Selvidge,SP,sa3017950,0,Bench,40,60.0,,55.0,,40.0,15.0,20.0,90.0,94.0,95.0,92.0000000000000000,2,1.0,,,-1.0,0,3.2,2.8125,0.9375,,2.8125,,,1.0,0.0,0,0,0,1,18,0,0.0,0.0,0.0
8739,2022,Carlos Duran,DH,24458,0,Bench,40,60.0,70.0,,45.0,40.0,0.0,10.0,94.0,97.0,99.0,95.5000000000000000,2,-1.0,-1.0,,,0,78.89999999999999,5.7034220532319395,1.5335868187579216,,3.422053231939164,,,30.0,9.0,0,0,1,3,19,0,0.0,0.0,0.0
8221,2022,Chase Petty,SP,30170,0,Bench,40,60.0,70.0,,55.0,45.0,0.0,25.0,93.0,96.0,100.0,94.5000000000000000,3,1.0,1.0,,-1.0,0,5.0,5.4,1.4,,1.8,,,1.0,0.0,0,0,0,1,18,0,0.0,0.0,0.0
8896,2022,Chayce McDermott,SP,29866,0,Bench,40,60.0,55.0,55.0,40.0,45.0,5.0,15.0,92.0,95.0,98.0,93.5000000000000000,3,1.0,,,-1.0,0,20.4,3.088235294117647,1.1274509803921569,,4.852941176470589,,,11.0,3.0,0,0,0,2,22,0,0.0,0.0,0.0
8645,2022,Coleman Crow,SP,sa3015142,0,Bench,40,40.0,55.0,55.0,40.0,55.0,0.0,5.0,88.0,92.0,94.0,90.0000000000000000,2,,1.0,,,0,60.00000000000001,4.35,1.6166666666666665,,4.35,,,29.0,7.0,0,0,0,2,20,0,0.0,0.0,0.0
8868,2022,Dahian  Santos,RP,sa3015282,0,Bench,40,55.0,60.0,,45.0,45.0,15.0,25.0,90.0,93.0,96.0,91.5000000000000000,2,1.0,1.0,,-1.0,0,39.400000000000006,5.710659898477156,1.3705583756345177,,3.65482233502538,,,16.0,6.0,0,0,0,2,18,0,0.0,0.0,0.0
8624,2022,Dom Hamel,RP,30153,0,Bench,40,50.0,60.0,55.0,50.0,45.0,0.0,15.0,91.0,95.0,97.0,93.0000000000000000,2,,1.0,,1.0,0,,,,,,,,,,0,0,0,1,,0,0.0,0.0,0.0
9248,2022,Doug Nikhazy,SP,30142,0,Bench,40,45.0,50.0,55.0,40.0,55.0,5.0,20.0,89.0,91.0,95.0,90.0000000000000000,1,-1.0,1.0,,1.0,0,,,,,,,,,,0,0,0,1,21,0,0.0,0.0,0.0
9147,2022,Dylan Smith,DH,30145,0,Bench,40,45.0,55.0,45.0,50.0,60.0,5.0,25.0,88.0,92.0,94.0,90.0000000000000000,1,1.0,,,,0,,,,,,,,,,0,0,0,1,21,0,0.0,0.0,0.0
8561,2022,Emiliano Teodo,DH,sa3015158,0,Bench,40,70.0,,60.0,,35.0,0.0,15.0,97.0,101.0,102.0,99.0000000000000000,2,-1.0,1.0,,-1.0,0,27.700000000000003,3.574007220216606,1.5162454873646207,,5.8483754512635375,,,18.0,0.0,0,0,0,1,20,0,0.0,0.0,0.0
8922,2022,Frank Mozzicato,DH,sa3018242,0,Bench,40,55.0,55.0,60.0,50.0,55.0,25.0,35.0,88.0,92.0,94.0,90.0000000000000000,3,1.0,1.0,,1.0,0,,,,,,,,,,0,0,0,1,18,0,0.0,0.0,0.0
9313,2022,Jacob Miller,SP,sa3020111,0,Bench,40,50.0,60.0,60.0,45.0,50.0,5.0,30.0,92.0,95.0,98.0,93.5000000000000000,2,,,,,0,,,,,,,,,,0,0,0,1,17,0,0.0,0.0,0.0
8192,2022,Jarlin Susana,SP,sa3018808,0,Bench,40,70.0,60.0,,45.0,45.0,5.0,25.0,96.0,99.0,101.0,97.5000000000000000,2,1.0,,,-1.0,0,,,,,,,,,,0,0,0,1,17,0,0.0,0.0,0.0
8814,2022,Joe Elbis,SP,sa3015216,0,Bench,40,45.0,50.0,50.0,55.0,60.0,15.0,35.0,90.0,92.0,94.0,91.0000000000000000,1,1.0,1.0,,,0,51.800000000000004,3.6486486486486482,1.138996138996139,,1.216216216216216,,,7.0,4.0,0,0,0,2,18,0,0.0,0.0,0.0
9050,2022,Joel Díaz,SP,sa3015500,0,Bench,40,45.0,,60.0,50.0,55.0,5.0,30.0,93.0,95.0,96.0,94.0000000000000000,1,1.0,1.0,,,0,50.1,0.5389221556886228,0.7584830339321357,,1.6167664670658681,,,9.0,0.0,0,0,0,1,17,0,0.0,0.0,0.0
8410,2022,Joe Rock,SP,30016,0,Bench,40,50.0,55.0,,55.0,45.0,5.0,15.0,93.0,95.0,96.0,94.0000000000000000,2,2.0,1.0,,-1.0,0,8.0,1.125,0.75,,1.125,,,1.0,0.0,0,0,0,1,20,0,0.0,0.0,0.0
9185,2022,Jorge Juan,DH,sa3005826,0,Bench,40,65.0,60.0,,45.0,50.0,5.0,20.0,95.0,97.0,99.0,96.0000000000000000,2,2.0,,,1.0,0,,,,,,,,,,0,0,0,1,,0,0.0,0.0,0.0
8505,2022,Kenya Huggins,SP,sa3020609,0,Bench,40,50.0,60.0,,,40.0,10.0,20.0,91.0,95.0,97.0,93.0000000000000000,1,-1.0,,,-1.0,0,,,,,,,,,,0,0,0,1,18,0,0.0,0.0,0.0
8707,2022,Ky Bush,SP,29823,0,Bench,40,60.0,60.0,45.0,,40.0,5.0,10.0,92.0,95.0,96.0,93.5000000000000000,2,,,,,0,10.6,5.09433962264151,1.7924528301886793,,4.245283018867925,,,5.0,0.0,0,0,1,3,21,0,0.0,0.0,0.0
9402,2022,Kyle Brnovich,SP,sa3014923,0,Bench,40,40.0,,60.0,50.0,60.0,0.0,5.0,88.0,92.0,94.0,90.0000000000000000,1,,,,,1,,,,,,,,,,0,0,0,1,,0,0.0,0.0,0.0
9244,2022,Luis R. Rodriguez,DH,sa3017275,0,Bench,40,60.0,,60.0,45.0,50.0,10.0,20.0,92.0,95.0,97.0,93.5000000000000000,2,1.0,1.0,,1.0,0,12.1,5.206611570247934,1.4049586776859504,,3.71900826446281,,,5.0,1.0,0,0,0,2,18,0,0.0,0.0,0.0
8577,2022,Marco Raya,RP,sa3014550,0,Bench,40,50.0,50.0,,55.0,55.0,10.0,20.0,92.0,96.0,98.0,94.0000000000000000,1,,2.0,,2.0,0,,,,,,,,,,0,0,0,1,18,0,0.0,0.0,0.0
8844,2022,Mason Black,DH,30171,0,Bench,40,55.0,45.0,,55.0,40.0,5.0,10.0,92.0,96.0,98.0,94.0000000000000000,2,1.0,-1.0,,-1.0,0,,,,,,,,,,0,0,0,1,21,0,0.0,0.0,0.0
8320,2022,McCade Brown,SP,30004,0,Bench,40,55.0,55.0,50.0,45.0,50.0,0.0,15.0,92.0,96.0,97.0,94.0000000000000000,2,,,,,0,8.0,6.75,1.625,,3.375,,,3.0,2.0,0,0,0,1,20,0,0.0,0.0,0.0
